Date,Open,High,Low,Close,Adj Close,Volume,Category
22-03-2017,139.850006,141.600006,139.759995,141.419998,139.217636,25860200,AAPL
23-03-2017,141.259995,141.580002,140.610001,140.919998,138.725433,20346300,AAPL
24-03-2017,141.5,141.740005,140.350006,140.639999,138.449783,22395600,AAPL
27-03-2017,139.389999,141.220001,138.619995,140.880005,138.686066,23575100,AAPL
28-03-2017,140.910004,144.039993,140.619995,143.800003,141.560577,33374800,AAPL
29-03-2017,143.679993,144.490005,143.190002,144.119995,141.875595,29190000,AAPL
30-03-2017,144.190002,144.5,143.5,143.929993,141.688553,21207300,AAPL
31-03-2017,143.720001,144.270004,143.009995,143.660004,141.422775,19661700,AAPL
03-04-2017,143.710007,144.119995,143.050003,143.699997,141.462158,19985700,AAPL
04-04-2017,143.25,144.889999,143.169998,144.770004,142.515488,19891400,AAPL
05-04-2017,144.220001,145.460007,143.809998,144.020004,141.777161,27717900,AAPL
06-04-2017,144.289993,144.520004,143.449997,143.660004,141.422775,21149000,AAPL
07-04-2017,143.729996,144.179993,143.270004,143.339996,141.107742,16672200,AAPL
10-04-2017,143.600006,143.880005,142.899994,143.169998,140.940399,18933400,AAPL
11-04-2017,142.940002,143.350006,140.059998,141.630005,139.424393,30379400,AAPL
12-04-2017,141.600006,142.149994,141.009995,141.800003,139.591736,20350000,AAPL
13-04-2017,141.910004,142.380005,141.050003,141.050003,138.853424,17822900,AAPL
17-04-2017,141.479996,141.880005,140.869995,141.830002,139.621262,16582100,AAPL
18-04-2017,141.410004,142.039993,141.110001,141.199997,139.001068,14697500,AAPL
19-04-2017,141.880005,142,140.449997,140.679993,138.489182,17328400,AAPL
20-04-2017,141.220001,142.919998,141.160004,142.440002,140.221756,23319600,AAPL
21-04-2017,142.440002,142.679993,141.850006,142.270004,140.054428,17320900,AAPL
24-04-2017,143.5,143.949997,143.179993,143.639999,141.403061,17134300,AAPL
25-04-2017,143.910004,144.899994,143.869995,144.529999,142.279205,18871500,AAPL
26-04-2017,144.470001,144.600006,143.380005,143.679993,141.442444,20041200,AAPL
27-04-2017,143.919998,144.160004,143.309998,143.789993,141.550751,14246300,AAPL
28-04-2017,144.089996,144.300003,143.270004,143.649994,141.412903,20860400,AAPL
01-05-2017,145.100006,147.199997,144.960007,146.580002,144.297287,33602900,AAPL
02-05-2017,147.539993,148.089996,146.839996,147.509995,145.212799,45352200,AAPL
03-05-2017,145.589996,147.490005,144.270004,147.059998,144.769821,45697000,AAPL
04-05-2017,146.520004,147.139999,145.809998,146.529999,144.248062,23371900,AAPL
05-05-2017,146.759995,148.979996,146.759995,148.960007,146.640244,27327700,AAPL
08-05-2017,149.029999,153.699997,149.029999,153.009995,150.627151,48752400,AAPL
09-05-2017,153.869995,154.880005,153.449997,153.990005,151.591904,39130400,AAPL
10-05-2017,153.630005,153.940002,152.110001,153.259995,150.87326,25805700,AAPL
11-05-2017,152.449997,154.070007,152.309998,153.949997,152.17807,27255100,AAPL
12-05-2017,154.699997,156.419998,154.669998,156.100006,154.303329,32527000,AAPL
15-05-2017,156.009995,156.649994,155.050003,155.699997,153.907913,26009700,AAPL
16-05-2017,155.940002,156.059998,154.720001,155.470001,153.680573,20048500,AAPL
17-05-2017,153.600006,154.570007,149.710007,150.25,148.52066,50767700,AAPL
18-05-2017,151.270004,153.339996,151.130005,152.539993,150.784286,33568200,AAPL
19-05-2017,153.380005,153.979996,152.630005,153.059998,151.298309,26960800,AAPL
22-05-2017,154,154.580002,152.910004,153.990005,152.217606,22966400,AAPL
23-05-2017,154.899994,154.899994,153.309998,153.800003,152.0298,19918900,AAPL
24-05-2017,153.839996,154.169998,152.669998,153.339996,151.575073,19178000,AAPL
25-05-2017,153.729996,154.350006,153.029999,153.869995,152.098969,19235600,AAPL
26-05-2017,154,154.240005,153.309998,153.610001,151.84198,21701100,AAPL
30-05-2017,153.419998,154.429993,153.330002,153.669998,151.901276,20126900,AAPL
31-05-2017,153.970001,154.169998,152.380005,152.759995,151.00177,24451200,AAPL
01-06-2017,153.169998,153.330002,152.220001,153.179993,151.416931,16404100,AAPL
02-06-2017,153.580002,155.449997,152.889999,155.449997,153.660797,27770700,AAPL
05-06-2017,154.339996,154.449997,153.460007,153.929993,152.158295,25331700,AAPL
06-06-2017,153.899994,155.809998,153.779999,154.449997,152.672318,26624900,AAPL
07-06-2017,155.020004,155.979996,154.479996,155.369995,153.581726,21069600,AAPL
08-06-2017,155.25,155.539993,154.399994,154.990005,153.2061,21250800,AAPL
09-06-2017,155.190002,155.190002,146.020004,148.979996,147.265274,64882700,AAPL
12-06-2017,145.740005,146.089996,142.509995,145.419998,143.746231,72307300,AAPL
13-06-2017,147.160004,147.449997,145.149994,146.589996,144.902771,34165400,AAPL
14-06-2017,147.5,147.5,143.839996,145.160004,143.489243,31531200,AAPL
15-06-2017,143.320007,144.479996,142.210007,144.289993,142.629242,32165400,AAPL
16-06-2017,143.779999,144.5,142.199997,142.270004,140.632507,50361100,AAPL
19-06-2017,143.660004,146.740005,143.660004,146.339996,144.655655,32541400,AAPL
20-06-2017,146.869995,146.869995,144.940002,145.009995,143.340958,24900100,AAPL
