Date,Open,High,Low,Close,Adj Close,Volume,Category
22-03-2017,78.300003,78.940002,77.839996,78.830002,76.321388,3026800,AMZN
23-03-2017,78.57,79.190002,78.43,78.480003,75.982529,2211800,AMZN
24-03-2017,78.419998,78.669998,77.120003,77.269997,74.811028,2359700,AMZN
27-03-2017,76.970001,77.790001,76.660004,77.25,74.791672,2089300,AMZN
28-03-2017,77.410004,78.110001,77.080002,77.919998,75.440346,2388500,AMZN
29-03-2017,77.809998,78.5,77.540001,78.32,75.827621,2282000,AMZN
30-03-2017,78.379997,78.849998,77.940002,78.589996,76.08902,3241500,AMZN
31-03-2017,78.489998,79.43,78.410004,79.220001,76.698967,2744100,AMZN
03-04-2017,79.089996,79.220001,78,78.290001,75.798569,1711600,AMZN
04-04-2017,78.5,78.550003,77.669998,78.43,75.93412,1368100,AMZN
05-04-2017,78.739998,79.480003,77.529999,77.57,75.101486,2867200,AMZN
06-04-2017,77.589996,77.650002,76.650002,76.879997,74.433441,3322400,AMZN
07-04-2017,76.959999,77.660004,76.529999,77.150002,74.694855,2484300,AMZN
10-04-2017,77.510002,78.650002,77.5,78.050003,75.566208,2503900,AMZN
11-04-2017,77.809998,77.970001,77.150002,77.879997,75.401619,2042900,AMZN
12-04-2017,78.129997,78.260002,77.260002,77.379997,74.917526,2006100,AMZN
13-04-2017,77.260002,77.690002,76.459999,76.669998,74.230125,2606600,AMZN
17-04-2017,76.660004,77.010002,76.57,77.010002,74.559303,1548800,AMZN
18-04-2017,76.650002,76.989998,75.639999,75.93,73.51368,2326300,AMZN
19-04-2017,75.940002,76.150002,75.139999,75.330002,72.93277,2511300,AMZN
20-04-2017,75.5,76.370003,75.330002,75.75,73.339401,1682300,AMZN
21-04-2017,75.599998,76.589996,75.599998,76.349998,73.920303,2561100,AMZN
24-04-2017,77.120003,77.589996,76.739998,77.510002,75.043388,2483300,AMZN
25-04-2017,77.599998,78.18,77.25,78.080002,75.595261,2632800,AMZN
26-04-2017,77.93,78.889999,77.660004,78.110001,75.624298,2977500,AMZN
27-04-2017,78.010002,78.129997,76.93,78.050003,75.566208,3001200,AMZN
28-04-2017,79.599998,80.940002,79.07,79.559998,77.028152,5252400,AMZN
01-05-2017,79.519997,80.349998,79.32,79.559998,77.028152,2632700,AMZN
02-05-2017,79.93,80.07,79.059998,79.260002,76.737701,2202900,AMZN
03-05-2017,78.910004,79.75,78.739998,79.589996,77.05719,1946200,AMZN
04-05-2017,79.300003,79.300003,78,78.239998,75.75016,2163800,AMZN
05-05-2017,78.330002,79.43,78.32,79.349998,76.824837,1764000,AMZN
08-05-2017,79.07,79.730003,78.790001,79.639999,77.105606,1867800,AMZN
09-05-2017,79.540001,80.110001,79.379997,79.599998,77.066879,1455800,AMZN
10-05-2017,79.769997,80.040001,79.459999,79.75,77.212105,1690500,AMZN
11-05-2017,79.900002,80.019997,79.209999,79.519997,76.989426,1440400,AMZN
12-05-2017,79.470001,79.980003,79.300003,79.790001,77.250832,1439900,AMZN
15-05-2017,80.290001,80.68,79.830002,80.120003,77.570328,1725800,AMZN
16-05-2017,79.440002,79.470001,78.220001,78.540001,76.710831,2011800,AMZN
17-05-2017,78.540001,78.779999,77.629997,77.669998,75.861084,2208700,AMZN
18-05-2017,77.379997,77.940002,76.809998,77.550003,75.743889,2534400,AMZN
19-05-2017,77.660004,78.529999,77.349998,78.25,76.427582,2293200,AMZN
